datetime,NO1,NO2,NO3,NO4,NO5,NO1_pct_hourly,NO2_pct_hourly,NO3_pct_hourly,NO4_pct_hourly,NO5_pct_hourly,NO1_pct_daily,NO2_pct_daily,NO3_pct_daily,NO4_pct_daily,NO5_pct_daily
2024-08-15 20:00:00+02:00,0.21647,0.66252,0.193,0.193,0.21647,0.10636330003699346,0.12543638259607803,0.24411779982340676,0.24411779982340676,0.10636330003699346,2.306347180868662,0.6028395717865065,-11.059907834101379,-11.059907834101379,2.306347180868662
2024-08-15 21:00:00+02:00,0.21459,0.66441,0.1838,0.1838,0.21459,-0.8684806208712481,0.285274406810343,-4.766839378238352,-4.766839378238352,-0.8684806208712481,7.332566398239382,-2.7275122979620536,-16.922798770565905,-16.922798770565905,7.332566398239382
2024-08-15 22:00:00+02:00,0.21471,0.65544,0.18049,0.18049,0.21471,0.055920592758296195,-1.3500699869056665,-1.8008705114254564,-1.8008705114254564,0.055920592758296195,-2.4843310019075138,-0.41781248575639696,-18.02616041420655,-18.02616041420655,-2.4843310019075138
2024-08-15 23:00:00+02:00,0.19347,0.66134,0.13012,0.13012,0.19347,-9.892413022216019,0.9001586720370991,-27.90736328882486,-27.90736328882486,-9.892413022216019,8.459468550285898,0.657514230921441,-32.98310671611042,-32.98310671611042,8.459468550285898
2024-08-16 00:00:00+02:00,0.16614,0.66104,0.03059,0.03059,0.16614,-14.126221119553417,-0.04536244594309791,-76.49093144789425,-76.49093144789425,-14.126221119553417,-22.447836437473747,-2.4971606413263125,-84.49176172370089,-84.49176172370089,-22.447836437473747
2024-08-16 01:00:00+02:00,0.1379,0.65434,0.0,0.0,0.1379,-16.997712772360664,-1.0135543991286355,-100.0,-100.0,-16.997712772360664,-30.170143812031604,-2.9629849329695146,-100.0,-100.0,-30.170143812031604
2024-08-16 02:00:00+02:00,0.11178,0.64645,-0.00035,-0.00035,0.11178,-18.941261783901375,-1.2057951523672839,-inf,-inf,-18.941261783901375,-40.25654730090859,-3.3374702812626222,-100.19240283656754,-100.19240283656754,-40.25654730090859
2024-08-16 03:00:00+02:00,0.11166,0.64975,-0.00082,-0.00082,0.11166,-0.10735373054214792,0.5104803155696613,134.2857142857143,134.2857142857143,-0.10735373054214792,-40.01933820369574,0.287085770732709,-100.46002805049088,-100.46002805049088,-40.01933820369574
2024-08-16 04:00:00+02:00,0.11166,0.58891,-0.00059,-0.00059,0.11166,0.0,-9.363601385148135,-28.04878048780487,-28.04878048780487,0.0,-39.40413523633798,3.568288136189368,-100.35748909355308,-100.35748909355308,-39.40413523633798
2024-08-16 05:00:00+02:00,0.09696,0.66257,-0.00012,-0.00012,0.09696,-13.164965072541634,12.507853492044617,-79.66101694915254,-79.66101694915254,-13.164965072541634,-48.21066125413951,16.886301490694187,-100.08229888210684,-100.08229888210684,-48.21066125413951
2024-08-16 06:00:00+02:00,0.14885,0.66669,0.00012,0.00012,0.14885,53.516914191419154,0.6218210906017596,-200.0,-200.0,53.516914191419154,-30.133771415160748,0.7556408590125185,-99.91123603816851,-99.91123603816851,-30.133771415160748
2024-08-16 07:00:00+02:00,0.1998,0.6681,0.03624,0.03624,0.1998,34.22908968760496,0.21149259775907758,30100.0,30100.0,34.22908968760496,-9.090909090909093,-0.08225529051072433,-79.88231375596759,-79.88231375596759,-9.090909090909093
2024-08-16 08:00:00+02:00,0.20838,0.66175,0.07236,0.07236,0.20838,4.294294294294287,-0.9504565184852654,99.6688741721854,99.6688741721854,4.294294294294287,-11.504650273920248,-3.133965688857665,-69.26997069690407,-69.26997069690407,-11.504650273920248
2024-08-16 09:00:00+02:00,0.21686,0.65551,0.09284,0.09284,0.21686,4.069488434590651,-0.9429542878730546,28.302929795467136,28.302929795467136,4.069488434590651,-7.809378055520133,-1.8785737807981207,-60.53224503677252,-60.53224503677252,-7.809378055520133
2024-08-16 10:00:00+02:00,0.23874,0.64786,0.11508,0.11508,0.23874,10.0894586369086,-1.1670302512547526,23.95519172770357,23.95519172770357,10.0894586369086,2.8829993535875786,14.434592150351499,-48.73942093541203,-48.73942093541203,2.8829993535875786
2024-08-16 11:00:00+02:00,0.29404,0.66528,0.1272,0.1272,0.29404,23.163273854402288,2.688852529867569,10.531803962460895,10.531803962460895,23.163273854402288,25.001062789610184,41.33843212237094,-29.34118431285413,-29.34118431285413,25.001062789610184
2024-08-16 12:00:00+02:00,0.49337,0.57903,0.13896,0.13896,0.49337,67.79009658549855,-12.964466089466075,9.245283018867912,9.245283018867912,67.79009658549855,176.78541374474054,224.84151472650774,-22.199204971726104,-22.199204971726104,176.78541374474054
2024-08-16 13:00:00+02:00,0.35841,0.57056,0.13932,0.13932,0.35841,-27.354723635405477,-1.4627912197986426,0.2590673575129543,0.2590673575129543,-27.354723635405477,205.6541019955654,386.57683779635,-22.045658012533565,-22.045658012533565,205.6541019955654
2024-08-16 14:00:00+02:00,0.29404,0.54349,0.12802,0.12802,0.29404,-17.95987835160848,-4.74446158160402,-8.11082400229688,-8.11082400229688,-17.95987835160848,148.99652807180965,360.2337200440342,-27.508493771234434,-27.508493771234434,148.99652807180965
2024-08-16 15:00:00+02:00,0.17203,0.61798,0.13967,0.13967,0.17203,-41.494354509590536,13.705863953338593,9.10014060303077,9.10014060303077,-41.494354509590536,-7.704275980471065,231.55212189495145,-23.71511278606151,-23.71511278606151,-7.704275980471065
2024-08-16 16:00:00+02:00,0.17391,0.62868,0.13026,0.13026,0.17391,1.092832645468822,1.7314476196640838,-6.73730937209136,-6.73730937209136,1.092832645468822,-34.88467874794069,30.361215941608254,-30.290056726961367,-30.290056726961367,-34.88467874794069
2024-08-16 17:00:00+02:00,0.17156,0.6694,0.15685,0.15685,0.17156,-1.351273647288842,6.477063052745424,20.41302011361892,20.41302011361892,-1.351273647288842,-23.379929435934088,26.151932608408867,-15.312348145348532,-15.312348145348532,-23.379929435934088
2024-08-16 18:00:00+02:00,0.16885,0.66951,0.16885,0.16885,0.16885,-1.5796222895779866,0.01643262623245434,7.65062161300607,7.65062161300607,-1.5796222895779866,-23.33711691259932,9.223942444165289,-9.063981042654035,-9.063981042654035,-23.33711691259932
2024-08-16 19:00:00+02:00,0.17473,0.67116,0.17473,0.17473,0.17473,3.482380811371044,0.24644889546083792,3.482380811371044,3.482380811371044,3.482380811371044,-19.196263411024784,1.4311837869697364,-9.24531241884382,-9.24531241884382,-19.196263411024784
2024-08-16 20:00:00+02:00,0.17509,0.67081,0.17509,0.17509,0.17509,0.20603216391004153,-0.05214851898205364,0.20603216391004153,0.20603216391004153,0.20603216391004153,-19.115812814708733,1.2512829801364589,-9.27979274611399,-9.27979274611399,-19.115812814708733
