datetime,NO1_label,NO2_label,NO3_label,NO4_label,NO5_label,NO1_pct_hourly_label,NO2_pct_hourly_label,NO3_pct_hourly_label,NO4_pct_hourly_label,NO5_pct_hourly_label,NO1_pct_daily_label,NO2_pct_daily_label,NO3_pct_daily_label,NO4_pct_daily_label,NO5_pct_daily_label
2025-05-29 02:00:00+02:00,0.77194,0.80818,0.01358,0.01553,0.52479,-0.044569589702333046,-0.045133391620785,0.38854805725971353,-0.6890268321986384,0.04537758211987808,21.928258912353304,12.924770847306055,0.0,30.067001675041883,0.0
2025-05-29 03:00:00+02:00,0.78471,0.82141,0.0107,0.01381,0.50063,0.01654273648211002,0.016370115568314025,-0.21207658321060385,-0.11075338055376693,-0.04603746260408914,18.382463868690223,6.994828776491113,0.0,0.0,0.0
2025-05-29 04:00:00+02:00,0.77447,0.81037,0.02612,0.05431,0.4622,-0.013049406787220774,-0.013440303867739534,1.4411214953271032,2.9326574945691526,-0.07676327826938056,13.782211383069365,1.212749481677622,0.0,148.9000916590284,0.0
2025-05-29 05:00:00+02:00,0.75261,0.78759,0.03268,0.0145,0.4546,-0.028225754386871027,-0.02811061613830723,0.2511485451761102,-0.7330141778677959,-0.016443098225876196,0.0,0.0,0.0,0.0,0.0
2025-05-29 06:00:00+02:00,0.76308,0.78091,0.04004,0.01059,0.50661,0.013911587674891424,-0.008481570360212798,0.22521419828641376,-0.2696551724137931,0.11440827100747919,0.0,0.0,0.0,0.0,0.0
2025-05-29 07:00:00+02:00,0.71625,0.74835,0.04591,0.013,0.44839,-0.061369712218902195,-0.04169494564034271,0.1466033966033966,0.2275731822474032,-0.114920747715205,0.0,0.0,0.0,0.0,0.0
2025-05-29 08:00:00+02:00,0.65964,0.68978,0.04591,0.04453,0.40892,-0.0790366492146597,-0.07826551747177124,0.0,2.4253846153846155,-0.08802604875220232,0.0,0.0,0.0,82.8747433264887,0.0
2025-05-29 09:00:00+02:00,0.61028,0.62374,0.04591,0.01001,0.43964,-0.07482869443939111,-0.09574067093856009,0.0,-0.7752077251291265,0.0751247187713977,0.0,0.0,0.0,0.0,0.0
2025-05-29 10:00:00+02:00,0.5478,0.56874,0.08031,0.01243,0.41732,-0.10237923576063457,-0.08817776637701602,0.7492920932258769,0.2417582417582418,-0.05076881084523688,0.0,0.0,0.0,0.0,0.0
2025-05-29 11:00:00+02:00,0.42457,0.44333,0.06432,0.01277,0.43021,-0.2249543629061701,-0.2205049759116644,-0.19910347403810236,0.027353177795655714,0.030887568292916612,0.0,0.0,0.0,0.0,0.0
2025-05-29 12:00:00+02:00,0.04407,0.03843,0.04188,0.01369,0.07628,-0.896200862048661,-0.9133151377078024,-0.34888059701492535,0.07204385277995318,-0.822691243811162,0.0,0.0,0.0,0.0,0.0
2025-05-29 13:00:00+02:00,0.02738,0.01922,0.03348,0.01542,0.06144,-0.37871567960063524,-0.4998698933125162,-0.20057306590257873,0.12636961285609916,-0.1945464079706345,0.0,0.0,0.0,0.0,0.0
2025-05-29 14:00:00+02:00,0.19445,0.15637,0.13381,0.0122,0.34207,6.101899196493791,7.135796045785639,2.9967144563918757,-0.20881971465629046,4.567545572916666,0.0,0.0,0.0,0.0,0.0
2025-05-29 15:00:00+02:00,0.10229,0.08388,0.09608,0.01335,0.19319,-0.47395217279506296,-0.4635799705825926,-0.2819669680890816,0.09426229508196715,-0.4352325547402578,0.0,0.0,1294.4847605224963,0.0,0.0
2025-05-29 16:00:00+02:00,0.5944,0.59659,0.04948,0.00805,0.39201,4.810929709649037,6.112422508345255,-0.4850124895920066,-0.39700374531835214,1.0291422951498528,0.0,0.0,419.2025183630641,0.0,0.0
2025-05-29 17:00:00+02:00,0.61373,0.63133,0.20504,0.14302,0.49729,0.0325201884253028,0.05823094587572708,3.143896523848019,16.766459627329194,0.2685645774342491,0.0,0.0,343.04235090751945,636.8366821226173,0.0
2025-05-29 18:00:00+02:00,0.63594,0.65481,0.18594,0.01381,0.52893,0.03618855196910675,0.03719132624776278,-0.09315255559890756,-0.9034400783107258,0.06362484666894574,0.0,0.0,743.2653061224489,0.0,0.0
2025-05-29 19:00:00+02:00,0.70359,0.72983,0.1108,0.02474,0.52916,0.10637796018492329,0.11456758449015747,-0.404108852317952,0.7914554670528604,0.0004348401489799869,0.0,0.0,141.18415324336087,0.0,0.0
2025-05-29 20:00:00+02:00,0.68127,0.72419,0.15004,0.04902,0.5287,-0.03172302050910336,-0.007727827028212064,0.3541516245487366,0.9814066289409862,-0.0008693022904225911,0.0,0.0,36.66089807814921,268.018018018018,0.0
2025-05-29 21:00:00+02:00,0.67126,0.6937,0.15993,0.05937,0.51708,-0.014693146623218523,-0.042102210745798785,0.06591575579845355,0.21113831089351276,-0.02197843767732166,0.0,0.0,45.66900446306585,374.2012779552716,0.0
2025-05-29 22:00:00+02:00,0.62432,0.64273,0.18329,0.02336,0.5134,-0.0699281947382534,-0.07347556580654457,0.14606390295754412,-0.6065352871820785,-0.007116887135452998,0.0,0.0,244.72446868534888,42.2655298416565,0.0
2025-05-29 23:00:00+02:00,0.55082,0.57105,0.10667,0.0969,0.43771,-0.11772808815991798,-0.1115242792463399,-0.41802607889137433,3.1481164383561646,-0.14742890533696917,0.0,0.0,345.75846218136235,436.5448504983389,0.0
2025-05-30 00:00:00+02:00,0.34196,0.34403,0.13862,0.04437,0.3238,-0.37918013144039797,-0.39754837579896674,0.2995218899409393,-0.5421052631578948,-0.2602407987023372,0.0,0.0,3445.268542199488,0.0,0.0
2025-05-30 01:00:00+02:00,0.30311,0.3092,0.10897,0.02736,0.26656,-0.11360977892151125,-0.10124117082812556,-0.21389409897561673,-0.38336713995943206,-0.17677578752316236,0.0,0.0,1014.2126789366052,0.0,0.0
2025-05-30 02:00:00+02:00,0.31357,0.31955,0.07621,0.01563,0.26656,0.03450892415294793,0.03347347994825367,-0.30063320179866015,-0.42872807017543857,0.0,0.0,0.0,461.1929307805596,0.6439150032195862,0.0
2025-05-30 03:00:00+02:00,0.17541,0.17782,0.10747,0.01345,0.16885,-0.44060337404726213,-0.4435299640118917,0.4101823907623672,-0.13947536788227777,-0.36655912364945986,0.0,0.0,904.392523364486,0.0,0.0
2025-05-30 04:00:00+02:00,0.21069,0.21403,0.11931,0.01207,0.20196,0.20112878399179057,0.2036328871892925,0.11017028007816143,-0.10260223048327133,0.1960912052117263,0.0,0.0,356.7764165390505,0.0,0.0
2025-05-30 05:00:00+02:00,0.55312,0.57564,0.04586,0.05,0.41564,1.62527884569747,1.6895295052095505,-0.6156231665409437,3.1425020712510356,1.0580312933254108,0.0,0.0,40.330477356181134,244.82758620689657,0.0
2025-05-30 06:00:00+02:00,0.60944,0.63243,0.09334,0.08173,0.46001,0.10182238935493215,0.09865540963101949,1.0353249018752728,0.6345999999999998,0.10675103454912893,0.0,0.0,133.11688311688314,671.7658168083096,0.0
2025-05-30 07:00:00+02:00,0.6076,0.61404,0.0323,0.0992,0.48323,-0.003019165135206059,-0.029078316967885764,-0.6539532890507821,0.21375260002447072,0.05047716353992304,0.0,0.0,0.0,663.0769230769231,7.770021632953461
2025-05-30 08:00:00+02:00,0.62507,0.60105,0.02552,0.01115,0.48219,0.02875246872942716,-0.021154973617353967,-0.20990712074303408,-0.8876008064516129,-0.002152184260083123,0.0,0.0,0.0,0.0,17.917930157488016
